label	text
2	Evaluation of Executive Function With Virtual Reality Among People With Schizophrenia, Background:||Schizophrenia often reflect by decrease in executive functions that may cause difficulty in Instrumental Activities of Daily Living (IADL). We've found it very difficult to simulate these functions with the existing tools in the clinic and to assess IADL accordingly.||The use of Virtual Reality (VR) became popular in the last decade to overcome these limitations in clinical practice and assessment of functioning in IADL. VR is a computer program that simulates a functional environment in which the subject impacts on events through various actions. Recent studies indicated that VR can be used to assess cognitive abilities and functioning of population with schizophrenia. As far as we know, no researches were performed using Virtual Interactive Shopping (VIS) in this population, nor did dynamic evaluation was used to identify potential learning abilities. The aim of this study is to examine the validity of the shopping task in the VIS, performed statically and dynamically, in order to assess executive function, and the ability to reflect cognitive, functional and participation ability among people that diagnosed with schizophrenia.||Method:||This Cross-sectional Study Included Patients that diagnosed with schizophrenia, aged 18-55, 20 of which hospitalized in mental health department and 20 in medical follow-up.||Different test will be administered, in two or three sessions, to evaluate cognitive ability, function ability and participation.||The results of the VIS shopping task performance (statically & dynamically) and its correlation with the cognitive and function tests as well as the participation questionnaire will be examined. These findings will indicate whether the shopping task is valid to assess executive functions for people with schizophrenia and whether it is ecologically valid., Virtual Reality
2	Cognitive Remediation Therapy and Schizophrenia, Methods:||In a 2 arms blind study versus sham,80 patients with schizophrenia were enrolled in a program consisting of 14 training sessions of 4 cognitive functions (attention/concentration, topological memory, logical reasoning, executive functions)by means REHACOM® software. Measures of cognitive functioning using the Cogtest® battery as well as social autonomy (Social Autonomy Scale, EAS) and schizophrenia symptoms (Positive And Negative Syndrome Scale, PANSS) were undertaken at the beginning and the end of the meetings of remediation.||Among those 80 participants, 30 patients to (15 active / 15 sham) were randomized to participate in an fMRI study in order to investigate the impact of such CRT program on brain functioning (n-back task before CRT and 3 months later)., cognitive deficits
2	Transcranial Direct Current Stimulation (TDCS) for Auditory Hallucinations in Early Onset Schizophrenia (EOS), Background: Early onset schizophrenia (EOS) involves positives symptoms such as psychotic behaviors, as well as negative symptoms such as disruptions to normal emotions and behaviors. Antipsychotics are the primary method of treatment in pediatric populations, but can produce unpleasant or dangerous side effects. Medication response is highly variable. Recent evidence demonstrates transcranial Direct Current Stimulation (tDCS) relieving auditory hallucinations (AH) associated with schizophrenia in adults, and to a lesser degree negative and cognitive symptomology. Such studies provide important scientific and technical knowledge that may be applied to pediatric populations.||Hypothesis: 1. Primary: Youths with EOS will demonstrate amelioration of AH after administration of tDCS. 2. TDCS will be well-tolerated in pediatric populations with minimal adverse side effects., TDCS
0	"Evaluation of a Primary Prevention Program for Anxiety Disorders Using Story Books, This study reports the results of a study evaluating a book-supported prevention program ""Dominique's Handy Tricks"" for anxiety disorders in children aged 9 to 12 years of age. This cognitive-behavioural program is delivered using a combination of story-based books and workshop sessions. The originality of the program comes from the use of story books that were not developed for anxiety management specifically. Every session is based on a story describing characters facing common stressors in childhood and how they managed to cope with their daily problems. In our randomized control trial with 46 children, participation in the program lead to a significant improvement in coping skills, self-efficacy, anxiety sensitivity, signs of anxiety and phobic avoidance. The theoretical and practical elements underlying the delivery of this primary prevention programs are described. It is suggested that such an approach, without any labelling specific to anxiety disorders, can be useful in universal primary prevention programs., No condition|Primary prevention|Anxiety"
1	Deep rTMS (Repetitive Transcranial Magnetic Stimulation)for Treatment of Autism Symptoms in Children., 0, Autism|TMS
2	An Open-Label Trial of Tocilizumab in Schizophrenia, Schizophrenia is a chronic, debilitating disorder with life-long consequences on affected individuals and families. Schizophrenia is also associated with impaired cognition or thinking, which persists despite currently available treatments, and is an important determinant of quality of life and overall function. Associations between immune system abnormalities and schizophrenia, in particular increased inflammation, are one of the more enduring findings in the field. Four of six trials found that treatment with non-steroidal anti-inflammatory drugs (NSAIDs) was associated with significant improvement in psychopathology (Muller et al., 2010a; Muller et al., 2010b). Serum cytokine levels predicted response in two studies (Laan et al., 2010; Muller et al., 2004), and another study found a trend for improved cognition (Muller et al., 2005) with adjunctive NSAID treatment. These findings provide important empirical support for a pathophysiological role for inflammation in a subset of patients with schizophrenia.||Cytokines are key regulators of inflammation that exert effects in the periphery and the brain. IL-6 is a cytokine produced by peripheral blood leukocytes, and central nervous system microglia and astrocytes. Serum IL-6 levels are increased in patients with schizophrenia, and two studies reported significant positive correlations between IL-6 and total psychopathology at baseline and following antipsychotic treatment (Miller et al., 2011). Schizophrenia is associated with impaired cognition, which persists despite current treatments, and is an important determinant of quality of life and overall function. In populations outside of schizophrenia, higher serum IL-6 levels are associated with poorer cognition, cognitive decline, and smaller hippocampal gray matter volume (Marsland et al., 2006; Marsland et al., 2008). In a first-episode psychosis sample, IL-6 messenger ribonucleic acid expression was a significant predictor of smaller left hippocampal volume (Mondelli et al., 2011).||Several other lines of evidence provide a theoretical background for targeting IL-6 in schizophrenia. Polymorphisms of the gene for IL-6 (Paul-Samojedny et al., 2010) and its receptor (Sun et al., 2008) have been associated with schizophrenia. In mice, a single maternal injection of IL-6 during pregnancy caused prepulse and latent inhibition deficits in the adult offspring (Smith et al., 2007). Prenatal maternal infections are a replicated risk factor for schizophrenia (Brown and Derkits, 2010). In a rat prenatal immune activation model, adult offspring have increased serum IL-6 levels, at an age with homology to the usual age of onset of schizophrenia, that are significantly decreased following treatment with haloperidol (Romero et al., 2007; Romero et al., 2010). Another animal study found that ketamine-induced neuronal production of IL-6 is responsible for the activation of brain NADPH-oxidase and subsequent dysfunction of fast-spiking parvalbumin-expressing interneurons (Behrens et al., 2008). These findings provide further support for a potential role of IL-6 in the pathophysiology of schizophrenia.||In our Preliminary Study, patients with schizophrenia, age 18-70 and taking non-clozapine antipsychotics, had a fasting blood draw for serum cytokines, and assessment of psychopathology, including cognition. Subjects were not taking NSAIDs, and had no history of immune disorders, illicit drug use in the past month, or antibiotic use in the past 2 weeks. In 39 patients, after controlling for potential confounding effects of age, sex, race, smoking, BMI, socioeconomic status, serum cortisol, psychotropic medications, intelligence quotient, and severity of psychopathology, higher serum IL-6 levels predicted greater cognitive impairment, measured by the Brief Assessment of Cognition in Schizophrenia (BACS) composite score, in a linear regression model (p=0.002, Figure 1). Higher IL-6 levels were also associated with significantly lower scores on the Verbal Memory (r=-0.40, p<0.01) and Motor Speed (r=-0.42, p<0.01) subtests of the BACS.||In the first year, one clinical trial is planned. We will conduct an 8-week open-label trial to determine the safety, tolerability, and efficacy of tocilizumab as an adjunct to antipsychotic medications in 10 stable outpatients with schizophrenia.||Tocilizumab has not been used before in the treatment of schizophrenia, and using it this way is experimental. The risks that have been found in people with rheumatoid arthritis are known, but there may be unknown risks when used in schizophrenia. Clinically significant adverse drug reactions include anaphylaxis (0.4%), infections (0.1-7.8%), intestinal perforation, neutropenia (7.0%), and cardiac failure. Known side effects of tocilizumab that are common include: increase in hepatic enzymes (AST, ALT), hypertension, headache, neutropenia, infusion-related reactions, upper respiratory tract infections, and nasopharyngitis.||Less common side effects include: peripheral edema, dizziness, rash, increased total cholesterol and LDL, hypothyroidism, diarrhea, abdominal pain, mouth ulcerations, gastric ulcer, stomatitis, weight gain, gastritis, thrombocytopenia, leukopenia, increased bilirubin, conjunctivitis, nephrolithiasis, bronchitis, cough, dyspnea, herpes simplex. Rare side effects include: cellulitis, fungal infections, diverticulitis, gastroenteritis, herpes zoster, hypertriglyceridemia, malignancy (including breast and colon), multiple sclerosis, otitis media, pneumonia, sepsis, tuberculosis, urinary tract infections, and varicella.||Subjects with schizophrenia will be accessed from outpatient psychiatry clinic at Georgia Health Sciences University or other satellite collaborative sites. The study has 5 visits: screening, baseline, and 2, 4, and 8 weeks. At Screening, all subjects will be administered the evaluation to sign consent, informed consent, and the structured clinical interview for Diagnostic and Statistical Manual psychosis and affective disorders modules. We will perform a medical history and physical exam, fasting labs (CBC, Complete Metabolic Panel, lipid panel, urinalysis, and urine drug screen (UDS)), a tuberculin skin test, and a 12-lead electrocardiogram. At Baseline, we will perform the Positive and Negative Syndrome Scale, BACS, and Clinical Global Impressions scale (CGI), and draw blood for IL-6 and high-sensitivity c-reactive protein (hsCRP). All subjects will receive a 4 mg/kg infusion of tocilizumab, the recommended starting dose for adults with rheumatoid arthritis. We will contact the subjects by phone on day 1 and 7 after the infusion to assess for any infusion-related events. At Week 2 and 4, we will perform an interval history, physical exam, Positive and Negative Syndrome Scale, BACS, and CGI. Different versions of the BACS will be used to avoid practice effects. At Week 4, we will obtain fasting labs (CBC, Complete Metabolic Panel, lipid panel, IL-6, hsCRP, and UDS), and subjects will receive a 4 mg/kg infusion of tocilizumab, We will contact the subjects by phone day 1 and 7 after the second infusion to assess for any infusion-related events. At Week 8, we will perform an interval history, physical exam, and administer the Positive and Negative Syndrome Scale, BACS, CGI, and obtain fasting labs (CBC, Complete Metabolic Panel, lipid panel, IL-6, hsCRP, and UDS). Patients will be withdrawn if they meet any exclusion criterion at any time point., tocilizumab|safety|tolerability|efficacy|schizophrenia|improvement|cognition|psychotic symptoms|baseline IL-6 levels
2	CONNEX-3: A Study to Test Whether Iclepertin Improves Learning and Memory in People With Schizophrenia, 0, 0
1	Vitamin/Mineral Supplement for Children and Adults With Autism, The major goal of this study is to determine the effect of this vitamin/mineral supplement on levels of vitamins, minerals, neurotransmitters, and biomarkers for nutritional deficiencies. The study design is a randomized, double-blind, placebo-controlled. Blood and urine measurements will be measured at the beginning of the study in children with autism and typical children. Then, the children with autism will be given the supplement or placebo for 12 weeks, and then their blood and urine will be re-measured., Vitamins|Minerals
0	Attention Training to Modify Error-related Negativity and Risk for Anxiety in Adolescence, Approximately 600 youths between the ages of 11 and 14 and their parents will be assessed. Adolescents will be evaluated at baseline using event-related potentials, self-report, and interview-based measures. The error-related negativity will be evaluated immediately (it takes less than 5 minutes to process and score a single subjects' error-related negativity ), and adolescents with good error-related negativity data (~90%, based on scorable error-related negativity data) will be randomly assigned to either an 8-week (i.e., 16 session) adaptive attention bias modification (N=180) or control condition (N=180) or a waitlist condition (N=180) group. Each session lasts 20 minutes, and participants will be asked to complete two 20-minute sessions per week. Participants will be assessed immediately at post, using the same measures from the baseline assessment. All participants will complete a 2-year follow-up lab visit using the same measures from the baseline assessment., 0
2	Atypical Antipsychotic Treatment Effect On Brain Function In Schizophrenia Measured By FMRI, The general aim of this study was to determine the neuroanatomic basis for cognitive pathology in schizophrenia, as well as the effects of treatment with typical and atypical antipsychotics on clinical symptoms, neurocognition and brain function, as measured with function magnetic resonance imaging. Subjects underwent a randomized parallel group treatment trial that consisted of: a four-week Thiothixene treatment period, followed by randomization, two-weeks cross titration, and six-weeks of double blind treatment with Risperidone (RIS) or Olanzapine (OLZ). Twenty-three patients with schizophrenia or schizoaffective disorder and fifteen healthy control subjects were initially enrolled. Diagnosis was established with the SCID. Subjects were assessed at two time points, at baseline after four weeks of Thiothixene treatment and at follow up, after eight weeks of double-blind atypical antipsychotic treatment. Controls were assessed once. Symptom severity was assessed using the PANSS. Cognitive functions associated with frontal and temporal cortical regions were probed with a neurocognitive testing battery using standardized attention, executive function and working memory tasks. Frontal and temporal cortical function was assessed with fMRI during the performance of visual and auditory oddball tasks. The visual task oddball task consisted of identifying an infrequent square presented within a series of frequent squares. The auditory oddball task consisted of identifying an infrequent pitch-deviant target tone embedded within a series of frequent standard tones. Thirteen patients and eleven controls completed fMRI at baseline and follow-up.||The results indicated that patients treated with the typical neuroleptic Thiothixene showed significantly smaller extents of activations in superior temporal, anterior cingulate and thalamic regions as compared to control subjects during the auditory oddball task. Although treatment with atypical neuroleptics considerably reduced group differences in cortical activation between controls and patients, the current sample size proved to be insufficient to yield statistically significant group by time interactions. The percent signal change data was in the same direction, but proved to be less sensitive to group differences than the extent of activation. The group differences were not pronounced during the visual oddball task, but were in the same direction., 0
